have,have,s,ProjectBack,0
been,been,s,ProjectBack,1
better,better,s,Comparison,0
pleased,pleased,s,Positivity,0
if,if,s,Contingency,0
she,she,s,Contingency,1
had,had,n,Contingency,2
been,been,s,ProjectBack,0
less,less,s,Comparison,0
discreet,discreet,nnn,StandardsPos,0
Now,now,s,Immediacy,0
I,i,s,Autobio,0
remember,remember,c,Autobio,1
",",",",s,,0
I,i,s,FirstPer,0
wonder,wonder,s,Curiosity,0
not,not,s,DenyDisclaim,0
they,they,s,,0
were,were,s,ProjectBack,0
weary,weary,s,Negativity,0
of,of,s,Negativity,1
you,you,c,DirectAddress,0
;,;,s,,0
last,last,s,ProjectBack,0
Night,night,s,ProjectBack,1
was,was,s,ProjectBack,0
one,one,s,Specifiers,0
of,of,n,Specifiers,1
their,their,s,Specifiers,2
Cabal-nights,cabal-nights,c,UNRECOGNIZED,0
;,;,s,,0
they,they,s,,0
have,have,s,,0
',',c,,0
em,em,s,SpaceRelation,0
three,three,s,RecurringEvents,0
times,times,s,RecurringEvents,1
a,a,s,RecurringEvents,2
Week,week,c,RecurringEvents,3
",",",",s,,0
and,and,s,,0
meet,meet,s,ReportingEvents,0
by,by,s,Sequence,0
turns,turns,c,Sequence,1
",",",",s,,0
at,at,s,AbstractConcepts,0
one,one,n,AbstractConcepts,1
another's,another's,s,,0
Apartments,apartments,c,SenseObject,0
",",",",s,SpaceRelation,0
where,where,s,SpaceRelation,1
they,they,s,,0
come,come,s,ReportingEvents,0
together,together,s,ReportingEvents,1
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Coroner's,coroner's,s,AbstractConcepts,0
Inquest,inquest,c,AbstractConcepts,1
",",",",s,,0
to,to,n,,0
sit,sit,s,SpaceRelation,0
upon,upon,s,SpaceRelation,1
the,the,s,,0
murdered,murdered,s,Negativity,0
Reputations,reputations,s,CommonAuthorities,0
of,of,s,TimeDuration,0
the,the,s,TimeDuration,1
Week,week,c,TimeDuration,2
.,.,s,,0
You,you,s,DirectAddress,0
and,and,s,,0
I,i,s,FirstPer,0
are,are,s,ReportingStates,0
excluded,excluded,c,ReportingStates,0
;,;,s,ReportingStates,1
and,and,s,,0
it,it,n,ProjectBack,0
was,was,s,ProjectBack,1
once,once,s,TimeShift,0
proposed,proposed,s,Citations,0
that,that,s,Citations,1
all,all,s,Generalization,0
the,the,s,Generalization,1
Male,male,s,AbstractConcepts,0
Sex,sex,s,AbstractConcepts,1
should,should,s,Insist,0
be,be,s,ReportingStates,0
excepted,excepted,c,Exceptions,0
;,;,s,Resistance,0
but,but,s,Resistance,1
somebody,somebody,s,Uncertainty,0
moved,moved,n,ReportingEvents,0
that,that,s,ProjectAhead,0
to,to,s,ProjectAhead,1
avoid,avoid,s,Resistance,0
Scandal,scandal,s,Negativity,0
there,there,s,Uncertainty,0
might,might,s,Uncertainty,1
