Pulse,pulse,c,Motions,0
",",",",s,,0
Sir,sir,c,PersonProperty,0
",",",",s,,0
of,of,s,,0
Castile,castile,s,AbstractConcepts,0
beats,beats,s,Motions,0
in,in,s,,0
another,another,s,Specifiers,0
temper,temper,s,AbstractConcepts,0
then,then,s,ReasonForward,0
when,when,s,ReasonForward,1
you,you,s,DirectAddress,0
left,left,s,SceneShift,0
it,it,c,SceneShift,1
.,.,nnn,,0
I,i,s,Metadiscourse,0
find,find,s,Metadiscourse,1
it,it,c,,0
:,:,s,,0
The,the,s,,0
City,city,s,CommonAuthorities,0
wears,wears,s,SpaceRelation,0
a,a,s,SpaceRelation,1
Cap,cap,c,SenseObject,0
",",",",s,,0
and,and,s,,0
looks,looks,s,Resemblances,0
as,as,s,Resemblances,1
if,if,s,Resemblances,2
all,all,s,,0
were,were,s,ProjectBack,0
not,not,s,StandardsNeg,0
right,right,s,StandardsNeg,1
there,there,c,SpaceRelation,0
.,.,nnn,SpaceRelation,1
Except,except,s,Exceptions,0
their,their,s,Exceptions,1
Wives,wives,c,PersonProperty,0
.,.,nnn,,0
The,the,s,CommonAuthorities,0
Court,court,s,CommonAuthorities,1
me,me,s,FirstPer,0
thinks,thinks,s,PrivateThinking,0
has,has,s,,0
strangely,strangely,s,Uncertainty,0
changed,changed,s,ReportingEvents,0
Complexion,complexion,s,SenseProperty,0
too,too,c,Metadiscourse,0
.,.,nnn,Metadiscourse,1
Those,those,s,AbstractConcepts,0
that,that,s,AbstractConcepts,1
deride,deride,s,Negative_Relation,0
us,us,s,Inclusive,0
say,say,s,Citations,0
--,--,n,,0
The,the,s,,0
Clergy,clergy,s,PersonProperty,0
has,has,s,,0
caught,caught,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
Falling,falling,s,Negativity,0
Sickness,sickness,c,Negativity,1
;,;,n,,0
The,the,s,CommonAuthorities,0
Court,court,c,CommonAuthorities,1
",",",",s,,0
a,a,s,SpaceRelation,0
deep,deep,s,SpaceRelation,1
Consumption,consumption,c,AbstractConcepts,0
;,;,s,,0
and,and,s,,0
that,that,n,,0
The,the,s,SenseObject,0
Commons,commons,s,SenseObject,1
have,have,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Spleen,spleen,c,AbstractConcepts,0
.,.,nn,,0
I,i,s,FirstPer,0
know,know,s,Uncertainty,0
not,not,s,Uncertainty,1
what,what,s,Uncertainty,2
disease,disease,s,StandardsNeg,0
the,the,s,CommonAuthorities,0
Court,court,s,CommonAuthorities,1
has,has,c,,0
;,;,s,Resistance,0
but,but,s,Resistance,1
the,the,s,,0
Lords,lords,s,CommonAuthorities,0
look,look,s,Resemblances,0
as,as,s,Resemblances,1
if,if,s,Resemblances,2
they,they,s,ProjectBack,0
had,had,s,ProjectBack,1
over,over,n,,0
sat,sat,s,ReportingEvents,0
themselves,themselves,s,PersonPronoun,0
at,at,s,GenericEvents,0
Play,play,c,GenericEvents,1
",",",",s,,0
and,and,s,,0
lost,lost,s,Negativity,0
odds,odds,c,Contingency,0
;,;,s,,0
so,so,s,,0
scurvily,scurvily,nnn,UNRECOGNIZED,0
How,how,s,Question,0
does,does,s,Question,1
your,your,s,DirectAddress,0
Lordship,lordship,s,CommonAuthorities,0
find,find,s,,0
the,the,s,PersonProperty,0
Ladies,ladies,c,PersonProperty,1
?,?,nnn,Question,0
I,i,s,SelfDisclosure,0
have,have,s,SelfDisclosure,1
not,not,s,DenyDisclaim,0
been,been,s,ProjectBack,0
amongst,amongst,s,SpaceRelation,0
um,um,s,OralCues,0
yet,yet,c,Resistance,0
",",",",s,,0
to,to,s,,0
take,take,s,Sequence,0
up,up,s,Sequence,1
my,my,s,FirstPer,0
Arrears,arrears,c,AbstractConcepts,0
;,;,s,,0
only,only,s,SubjectivePercept,0
had,had,s,ProjectBack,0
